{Mnemonic},{Opcode},{Sz},{T},{Mnemonic},{Opcode},{Sz},{T}
{mov e,a},{\$5F},{1},{4},{mov l,a},{\$6F},{1},{4}
{mov e,b},{\$58},{1},{4},{mov l,b},{\$68},{1},{4}
{mov e,c},{\$59},{1},{4},{mov l,c},{\$69},{1},{4}
{mov e,d},{\$5A},{1},{4},{mov l,d},{\$6A},{1},{4}
{mov e,e},{\$5B},{1},{4},{mov l,e},{\$6B},{1},{4}
{mov e,h},{\$5C},{1},{4},{mov l,h},{\$6C},{1},{4}
{mov e,l},{\$5D},{1},{4},{mov l,l},{\$6D},{1},{4}
{mov e,m},{\$5E},{1},{7},{mov l,m},{\$6E},{1},{7}
{mov h,a},{\$67},{1},{4},{mov m,a},{\$77},{1},{7}
{mov h,b},{\$60},{1},{4},{mov m,b},{\$70},{1},{4}
{mov h,c},{\$61},{1},{4},{mov m,c},{\$71},{1},{4}
{mov h,d},{\$62},{1},{4},{mov m,d},{\$72},{1},{4}
{mov h,e},{\$63},{1},{4},{mov m,e},{\$73},{1},{4}
{mov h,h},{\$64},{1},{4},{mov m,h},{\$74},{1},{4}
{mov h,l},{\$65},{1},{4},{mov m,l},{\$75},{1},{4}
{mov h,m},{\$66},{1},{7},{},{},{},{}
